Date,price,prediction,volatility,signal,position,position_size,shares,capital,equity,returns,strategy_returns,trade_count,stop_loss,take_profit,cumulative_returns,strategy_cumulative_returns
2021-02-01,1.0003151851458534,-0.0002647448023273,0.068123667725272,0,0,0.0,0.0,10000.0,10000.0,0.0,0.0,0,0.0,0.0,1.0,1.0
2021-02-02,0.9957534185729423,1.7374658808774444e-05,0.0617356688214427,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4680.654072138141,-0.004560329224879145,0.004560329224879145,1,1.0042997465087895,0.9829339266691716,0.9954396707751209,1.004560329224879
2021-02-03,0.9933048828306321,0.0002473702255313,0.0580128413932307,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4644.5582764375995,-0.002458977992582989,0.002458977992582989,1,1.0042997465087895,0.9829339266691716,0.9929919065317407,1.007030520966665
2021-02-04,0.993579946110984,8.0468262776823e-05,0.0580533246358659,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4648.613201101649,0.0002769172739471859,-0.0002769172739471859,1,1.0042997465087895,0.9829339266691716,0.9932668831435492,1.0067516568200172
2021-02-05,0.9873180014254013,3.625347319230795e-05,0.0583758713450845,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4556.300937836246,-0.006302406474781308,0.006302406474781308,1,1.0042997465087895,0.9829339266691716,0.9870069115080394,1.0130966149804563
2021-02-08,0.9940638160170647,0.0003482264592973,0.0627286359909079,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4655.746308849977,0.006832463888964302,-0.006832463888964302,1,1.0042997465087895,0.9829339266691716,0.9937506005890763,1.0061746689425703
2021-02-09,0.9944615687313132,-0.0003208241021171,0.0607514106248382,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4661.609895182315,0.00040012794736066226,-0.00040012794736066226,1,1.0042997465087895,0.9829339266691716,0.9941482279770784,1.0057720703376
2021-02-10,0.9999245242357127,0.000226861604273,0.0602381604825828,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4742.14362903825,0.005493380213142718,-0.005493380213142718,1,1.0042997465087895,0.9829339266691716,0.9996094621815785,1.000246981947476
2021-02-11,1.000025131360381,-0.0001012668218939,0.0598874636714754,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4743.626757977434,0.00010061471864108995,-0.00010061471864108995,1,1.0042997465087895,0.9829339266691716,0.9997100376063669,1.0001463423788157
2021-02-12,1.0008740243524548,0.0002472354628236,0.0582335899413727,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4756.140958805316,0.0008488716587742307,-0.0008488716587742307,1,1.0042997465087895,0.9829339266691716,1.000558663124283,0.9992973464941436
2021-02-15,1.0000971505604737,9.667368545079568e-05,0.0569243848025025,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4744.688449782925,-0.0007761953783181896,0.0007761953783181896,1,1.0042997465087895,0.9829339266691716,0.9997820341142298,1.000072996476058
2021-02-16,1.0009303202340214,0.000112209599974,0.0569487821561473,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4756.970860776808,0.0008330887385099572,-0.0008330887385099572,1,1.0042997465087895,0.9829339266691716,1.000614941267815,0.9992398469250059
2021-02-17,0.9976485129726242,1.2392989219153229e-05,0.05296763251393,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4708.591152696999,-0.003278756967447949,0.003278756967447949,1,1.0042997465087895,0.9829339266691716,0.9973341680574005,1.002516111535263
2021-02-18,0.9939722294986376,0.000184161989354,0.054411207418667,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4654.396159778864,-0.0036849485827755712,0.0036849485827755712,1,1.0042997465087895,0.9829339266691716,0.9936590429282637,1.0062103318596747
2021-02-19,0.9975868532310777,0.0001092422816229,0.0529524118829332,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4707.682177836899,0.003636543984999685,-0.003636543984999685,1,1.0042997465087895,0.9829339266691716,0.997272527743965,1.0025512037297057
2021-02-22,1.000425662879285,-0.000231822380876,0.0535242471315964,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4749.5313088598905,0.0028456766837019476,-0.0028456766837019476,1,1.0042997465087895,0.9829339266691716,1.0001104429234626,0.9996982671450348
2021-02-23,1.0037564623294857,-2.755568694723265e-05,0.0528141369296335,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4798.633249418248,0.0033293822557636243,-0.0033293822557636243,1,1.0042997465087895,0.9829339266691716,1.003440192885936,0.9963698894732845
2021-02-24,1.0025469479190403,-2.1122051591261064e-05,0.0529608156730431,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4780.802843963309,-0.0012049879187212564,0.0012049879187212564,1,1.0042997465087895,0.9829339266691716,1.002231059576349,0.9975705031526775
2021-02-25,1.0041319359046086,-6.426399381721357e-05,0.052819451082536,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4804.168401396793,0.0015809613593240623,-0.0015809613593240623,1,1.0042997465087895,0.9829339266691716,1.0038155481546536,0.9959933827339916
2021-02-26,1.0032280148234656,-0.0002328160225736,0.0527174429130294,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4790.842988126098,-0.0009002015062180568,0.0009002015062180568,1,1.0042997465087895,0.9829339266691716,1.0029119118862397,0.996889977477312
2021-03-01,0.9973649728509465,4.249797911260891e-05,0.0539878453035198,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4704.411264232176,-0.005844176882910057,0.005844176882910057,1,1.0042997465087895,0.9829339266691716,0.997050717275199,1.0027159788384896
2021-03-02,0.9941867039611355,0.0001696696848809,0.0547848270494767,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4657.557896913238,-0.003186665840816505,0.003186665840816505,1,1.0042997465087895,0.9829339266691716,0.9938734498128965,1.0059112995962953
2021-03-03,0.9970182441784691,-0.0001247929956595,0.0557654729241924,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4699.299863524806,0.0028480970486246537,-0.0028480970486246537,1,1.0042997465087895,0.9829339266691716,0.996704097852015,1.003046366592737
2021-03-04,0.9941426407144066,-0.0003673253731015,0.054445560183644,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4656.9083258555875,-0.0028842034545033535,0.0028842034545033535,1,1.0042997465087895,0.9829339266691716,0.9938294004498726,1.0059393563882908
2021-03-05,0.9872778891799862,7.922059093721038e-05,0.0587018305179245,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4555.709611603765,-0.006905197758630854,0.006905197758630854,1,1.0042997465087895,0.9829339266691716,0.9869668119014247,1.012885566577342
2021-03-08,0.983798435978671,7.665415498512246e-05,0.0596784067275683,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4504.4162489078335,-0.0035242896042219085,0.0035242896042219085,1,1.0042997465087895,0.9829339266691716,0.9834884550265284,1.016455268649897
2021-03-09,0.9776814282863092,-9.767548748529629e-05,0.0595792618056818,-1,-1,1.467918615352279,-14741.788358166194,9998.532081384648,-4414.2406161217605,-0.006217744884170928,0.006217744884170928,1,1.0042997465087895,0.9829339266691716,0.977373374716646,1.0227753281965335
2021-03-10,0.9814847608902596,0.0001285643737853,0.0559944158694411,0,0,1.467918615352279,0.0,-4414.2406161217605,-4414.2406161217605,0.0038901553143102507,0.0,1,1.0042997465087895,0.9829339266691716,0.9811755089443653,1.0227753281965335
2021-03-11,0.9838043772525396,-0.0003104577814686,0.0567922901851513,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12298.3875826279,0.0023633748120306386,0.0023633748120306386,2,0.9768639981368258,0.9942149459261103,0.9834943944283858,1.0251925296455595
2021-03-12,0.9887445557796598,-1.896615225669738e-05,0.0562158913632846,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12337.973906829317,0.00502150492653497,0.00502150492653497,2,0.9768639981368258,0.9942149459261103,0.9884330163752275,1.0303405389838216
2021-03-15,0.9857625208103854,-0.0001371564740946,0.0567995643086898,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12314.078453977641,-0.003015981177183824,-0.003015981177183824,2,0.9768639981368258,0.9942149459261103,0.9854519210029328,1.027233051312157
2021-03-16,0.9837620007915204,0.0002457807141825,0.0567254703377257,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12298.04801426712,-0.0020294137549684566,-0.0020294137549684566,2,0.9768639981368258,0.9942149459261103,0.9834520313195894,1.025148370428266
2021-03-17,0.981769659259326,3.6717719635876166e-05,0.0568824338481148,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12282.083109885545,-0.002025227169367594,-0.002025227169367594,2,0.9768639981368258,0.9942149459261103,0.9814603175459912,1.0230722120958418
2021-03-18,0.9884407749417135,-1.8048352753319184e-05,0.0623002716528918,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12335.539669550013,0.006794990677772894,0.006794990677772894,2,0.9768639981368258,0.9942149459261103,0.9881293312543202,1.0300239782397216
2021-03-19,0.9831016069462872,-0.0003576274358575,0.0638067021707953,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12292.756188331176,-0.0054016063792401425,-0.0054016063792401425,2,0.9768639981368258,0.9942149459261103,0.9827918455551026,1.0244601941480915
2021-03-22,0.9802000654203281,0.0003842171756847,0.0634365839098242,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12269.505740417211,-0.0029514157086690807,-0.0029514157086690807,2,0.9768639981368258,0.9942149459261103,0.9798912182637793,1.0214365862381767
2021-03-23,0.984308697666965,-8.502163963999163e-06,0.0639102503890493,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12302.428770879953,0.004191626170597207,0.004191626170597207,2,0.9768639981368258,0.9942149459261103,0.9839985559385922,1.0257180665646581
2021-03-24,0.9766219196630793,-0.0002566709535679,0.067108265814156,1,1,1.7858923688598547,-8013.136364221971,-4415.028951984825,-12240.833570533314,-0.007809316347711981,-0.007809316347711981,2,0.9768639981368258,0.9942149459261103,0.976314199929576,1.0177079096992911
2021-03-25,0.9743811099675759,0.0004051498126213,0.065344598429265,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5997.768394046738,-0.0022944495207279925,0.0022944495207279925,3,0.98261935295216,0.9620237454906996,0.9740740962814677,1.0200429891249418
2021-03-26,0.9713700908578463,-6.559108949169753e-05,0.0656084399640931,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5941.4020803781,-0.003090186251486049,0.003090186251486049,3,0.98261935295216,0.9620237454906996,0.97106402590121,1.0231951119458604
2021-03-29,0.972308564757336,2.564585607918196e-05,0.0653024917842399,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5958.970322976604,0.0009661342348525892,-0.0009661342348525892,3,0.98261935295216,0.9620237454906996,0.9720022041008669,1.0222065681192758
2021-03-30,0.9709055046002497,-0.0001250615549021,0.0652730132519434,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5932.705020091364,-0.0014430194363621585,0.0014430194363621585,3,0.98261935295216,0.9620237454906996,0.9705995860281625,1.023681632065049
2021-03-31,0.9669877298916925,6.61262065984693e-05,0.0640979738866963,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5859.364230791149,-0.004035176121666262,0.004035176121666262,3,0.98261935295216,0.9620237454906996,0.9666830457549226,1.027812367742946
2021-04-01,0.9674186965566122,0.0001792100360077,0.0640599736650578,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5867.431931901743,0.00044567955889984745,-0.00044567955889984745,3,0.98261935295216,0.9620237454906996,0.9671138766283506,1.0273542927802586
2021-04-02,0.9716259647485294,-6.263397093706841e-05,0.0653946002732293,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5946.192042665369,0.004348963077613011,-0.004348963077613011,3,0.98261935295216,0.9620237454906996,0.9713198191696545,1.02288636689333
2021-04-05,0.9706536300119369,-0.000130012552732,0.0651100827024839,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,5927.989924792195,-0.0010007294698470837,0.0010007294698470837,3,0.98261935295216,0.9620237454906996,0.9703477908019649,1.023909999424985
2021-04-06,0.9748320060014276,0.0001796057716629,0.0641174881589882,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,6006.209173181587,0.004304703408402499,-0.004304703408402499,3,0.98261935295216,0.9620237454906996,0.974524850244366,1.0195023705605628
